FILE_VERSION	2.0.0
NO_OF_FRAMES	6129
NO_OF_CAMERAS	19
NO_OF_MARKERS	5
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2024-10-29, 10:57:32.417	441368.71789840
DATA_INCLUDED	3D
MARKER_NAMES	RWristOut	RWristIn	RElbowOut	RElbowIn	Chest
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	RWristOut X	RWristOut Y	RWristOut Z	RWristIn X	RWristIn Y	RWristIn Z	RElbowOut X	RElbowOut Y	RElbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	Chest X	Chest Y	Chest Z	
75	0.74000	-933.616	1275.481	-1003.616	-924.052	1262.438	-914.675	-730.217	1272.276	-1031.181	-733.944	1214.434	-953.765	-315.675	1298.148	-890.433
76	0.75000	-933.602	1275.475	-1003.636	-924.055	1262.319	-914.710	-730.222	1272.292	-1031.202	-733.962	1214.389	-953.823	-315.628	1298.147	-890.456
77	0.76000	-933.594	1275.481	-1003.671	-924.031	1262.247	-914.765	-730.216	1272.294	-1031.223	-733.958	1214.333	-953.910	-315.625	1298.144	-890.490
78	0.77000	-933.601	1275.410	-1003.701	-924.038	1262.184	-914.795	-730.221	1272.252	-1031.267	-733.968	1214.285	-953.919	-315.630	1298.182	-890.524
79	0.78000	-933.602	1275.272	-1003.740	-924.057	1262.112	-914.822	-730.216	1272.161	-1031.277	-733.948	1214.225	-953.940	-315.635	1298.181	-890.562
80	0.79000	-933.607	1275.048	-1003.808	-924.078	1262.061	-914.865	-730.227	1272.040	-1031.298	-733.949	1214.206	-953.871	-315.648	1298.195	-890.603
81	0.80000	-933.630	1274.823	-1003.863	-924.091	1261.978	-914.913	-730.241	1271.911	-1031.315	-733.924	1214.160	-953.814	-315.662	1298.212	-890.641
82	0.81000	-933.651	1274.624	-1003.916	-924.105	1261.922	-914.908	-730.259	1271.779	-1031.352	-733.907	1214.118	-953.743	-315.686	1298.231	-890.683
83	0.82000	-933.651	1274.458	-1003.944	-924.112	1261.813	-914.927	-730.277	1271.669	-1031.362	-733.898	1214.073	-953.721	-315.721	1298.268	-890.743
84	0.83000	-933.683	1274.357	-1003.947	-924.130	1261.710	-914.940	-730.298	1271.585	-1031.381	-733.908	1214.021	-953.724	-315.748	1298.285	-890.782
85	0.84000	-933.715	1274.287	-1003.938	-924.146	1261.587	-914.952	-730.331	1271.534	-1031.399	-733.916	1213.925	-953.745	-315.794	1298.311	-890.839
86	0.85000	-933.751	1274.199	-1003.931	-924.147	1261.450	-914.962	-730.376	1271.479	-1031.431	-733.940	1213.822	-953.829	-315.833	1298.341	-890.887
87	0.86000	-933.796	1274.090	-1003.917	-924.170	1261.309	-914.938	-730.395	1271.428	-1031.442	-733.963	1213.731	-953.875	-315.871	1298.358	-890.922
88	0.87000	-933.830	1273.994	-1003.905	-924.186	1261.202	-914.950	-730.461	1271.356	-1031.463	-733.996	1213.654	-953.916	-315.936	1298.385	-890.965
89	0.88000	-933.890	1273.861	-1003.903	-924.216	1261.094	-914.951	-730.515	1271.269	-1031.481	-733.999	1213.568	-953.938	-315.990	1298.394	-891.011
90	0.89000	-933.941	1273.735	-1003.923	-924.280	1261.004	-914.958	-730.548	1271.182	-1031.513	-734.046	1213.510	-953.927	-316.040	1298.410	-891.056
91	0.90000	-934.000	1273.633	-1003.927	-924.326	1260.908	-914.965	-730.603	1271.109	-1031.524	-734.075	1213.452	-953.907	-316.106	1298.424	-891.092
92	0.91000	-934.042	1273.539	-1003.954	-924.374	1260.809	-914.987	-730.668	1271.060	-1031.529	-734.115	1213.395	-953.936	-316.146	1298.433	-891.120
93	0.92000	-934.105	1273.494	-1003.975	-924.420	1260.720	-914.986	-730.714	1271.024	-1031.540	-734.181	1213.346	-953.948	-316.185	1298.445	-891.127
94	0.93000	-934.160	1273.486	-1003.969	-924.495	1260.675	-914.995	-730.784	1271.030	-1031.553	-734.256	1213.312	-953.992	-316.252	1298.482	-891.139
95	0.94000	-934.246	1273.484	-1003.975	-924.569	1260.613	-915.010	-730.845	1271.030	-1031.556	-734.339	1213.255	-954.044	-316.315	1298.509	-891.157
96	0.95000	-934.326	1273.502	-1003.985	-924.644	1260.577	-915.028	-730.936	1271.043	-1031.592	-734.407	1213.230	-954.073	-316.358	1298.517	-891.150
97	0.96000	-934.381	1273.503	-1003.987	-924.703	1260.528	-915.060	-731.026	1271.022	-1031.594	-734.506	1213.200	-954.087	-316.406	1298.546	-891.165
98	0.97000	-934.448	1273.437	-1003.989	-924.790	1260.502	-915.052	-731.090	1270.984	-1031.599	-734.581	1213.183	-954.111	-316.478	1298.549	-891.182
99	0.98000	-934.530	1273.332	-1004.015	-924.876	1260.488	-915.067	-731.164	1270.946	-1031.590	-734.654	1213.168	-954.036	-316.528	1298.578	-891.188
100	0.99000	-934.612	1273.250	-1004.013	-924.937	1260.474	-915.049	-731.227	1270.891	-1031.575	-734.700	1213.135	-954.011	-316.604	1298.585	-891.178
101	1.00000	-934.692	1273.164	-1004.006	-925.011	1260.470	-915.036	-731.301	1270.874	-1031.587	-734.769	1213.125	-954.007	-316.675	1298.618	-891.183
102	1.01000	-934.768	1273.152	-1003.992	-925.072	1260.433	-915.007	-731.368	1270.868	-1031.572	-734.842	1213.109	-954.011	-316.747	1298.643	-891.178
103	1.02000	-934.845	1273.183	-1003.961	-925.187	1260.421	-914.974	-731.449	1270.925	-1031.572	-734.904	1213.097	-954.058	-316.815	1298.647	-891.158
104	1.03000	-934.927	1273.244	-1003.931	-925.274	1260.407	-914.962	-731.519	1270.981	-1031.553	-735.014	1213.071	-954.094	-316.890	1298.657	-891.130
105	1.04000	-935.003	1273.324	-1003.901	-925.337	1260.362	-914.946	-731.601	1271.026	-1031.534	-735.109	1213.076	-954.150	-316.975	1298.666	-891.130
106	1.05000	-935.065	1273.376	-1003.886	-925.420	1260.346	-914.963	-731.704	1271.054	-1031.526	-735.194	1213.042	-954.141	-317.043	1298.702	-891.121
107	1.06000	-935.146	1273.366	-1003.872	-925.495	1260.319	-914.941	-731.783	1271.060	-1031.531	-735.251	1213.035	-954.177	-317.123	1298.710	-891.099
108	1.07000	-935.216	1273.323	-1003.878	-925.579	1260.334	-914.944	-731.854	1271.044	-1031.502	-735.318	1213.053	-954.137	-317.207	1298.746	-891.090
